,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 13.10,☀️ Отдых,—,—,"восстановление, прогулка",—,восстановление
вт 14.10,🏃 Бег,Восстановительный,46,8.2 км @ 5:41/км,Z1–Z2 (133–158),возвращение к форме
ср 15.10,🏋️‍♂️ Зал,Силовая выносливость (базовая),45–60,"приседы, тяга, выпады, планка",—,мягкое включение
чт 16.10,🏃 Бег,Восстановительный,45,"7–8 км, 5:50–6:10/км",Z1–Z2 (133–158),поддержание аэробики
пт 17.10,🏋️‍♂️ Зал / Кроссфит,Общая сила / стабилизация,50–60,"круговая 4×4: жим, тяга, планка, выпады",—,укрепить мышцы и кора
сб 18.10,🏃 Бег,Интервальный апхилл,60,"разминка 15 мин → 8×1 мин в горку 3–6% Z4 / отдых 2 мин → заминка 10 мин",Z4 (171–177),развитие VO2 в апхилл
вс 19.10,🏃 Бег,Лонгран (лёгкий),75–85,"12–13 км, волнисто, набор 200–400 м",Z1–Z2 (133–158),выносливость и суставная адаптация
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Структура / Задачи,Зона ЧСС / Темп,Цель дня
пн 20.10,☀️ Отдых,—,—,"лёгкая прогулка, растяжка",—,восстановление
вт 21.10,🏃 Бег,Восстановительный,45–50,"7–8 км, 5:50–6:10/км",Z2,аэробная база
ср 22.10,🏋️‍♂️ Зал,Сила ног,60,"приседы, выпады, тяга, гиперэкстензия, планка",—,укрепление ног
чт 23.10,🏃 Бег,Восстановительный,50–55,"7–9 км, 5:50–6:10/км; в конце 6–8×10–15с ускорения",Z1–Z2; ускорения Z3 (158–171),поддержание аэробики
пт 24.10,🏋️‍♂️ Зал / Кроссфит,Верх / стабилизация,60,"подтягивания, жим стоя, паллоф-пресс, планка",—,общая сила
сб 25.10,🏃 Бег,Интервальный апхилл,60,6×2 мин Z4 в горку / 2 мин трусцы,Z4 (171–177),развитие VO2
вс 26.10,🏃 Бег,Лонгран,90–100,"14–16 км, волнисто, набор 300–600 м",Z1–Z2 (133–158),увеличение объёма
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Структура / Задачи,Зона ЧСС / Темп,Цель дня
пн 27.10,☀️ Отдых,—,—,"лёгкая прогулка, растяжка",—,восстановление
вт 28.10,🏃 Бег,Восстановительный,50–60,"8–10 км, 5:50–6:10/км",Z1–Z2 (133–158),аэробная база
ср 29.10,🏋️‍♂️ Зал,Силовая выносливость (нижняя),50–60,"присед 4×10, болгарские 3×10/нога, румынская тяга 3×10, икры 3×15; планка/паллоф",—,укрепление ног и кора
чт 30.10,🏃 Бег,Восстановительный,50–60,"7–9 км, 5:50–6:10/км; в конце 6–8×10–15с ускорения",Z1–Z2; ускорения Z3 (158–171),поддержание аэробики
пт 31.10,🏋️‍♂️ Зал / Кроссфит,ОФП (лёгкая),45–55,"EMOM 20: кардио/отжимания/жим/лёгкая тяга; техника ханг-пауэр-клин 5×3 лёгко",—,общая сила
сб 01.11,🏃 Бег,Интервальный апхилл,60,"5×3 мин Z3–Z4 в горку / 2 мин трусцы",Z3–Z4 (158–177),аэробная мощность в подъём
вс 02.11,🏃 Бег,Лонгран,100–110,"16–18 км, волнисто, набор 400–800 м",Z1–Z2 (133–158),длительная выносливость
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Структура / Задачи,Зона ЧСС / Темп,Цель дня
пн 03.11,☀️ Отдых,—,—,"прогулка 30–45 мин, мобилити 10–15 мин",—,восстановление
вт 04.11,🏃 Бег,Восстановительный,45–55,"7–9 км, 5:50–6:10/км",Z1–Z2 (133–158),аэробная база
ср 05.11,🏋️‍♂️ Зал,Силовая выносливость,40–50,"минус 30–40% объёма (разгрузка)",—,разгрузка
чт 06.11,🏃 Бег,Восстановительный,40–50,"6–8 км ровно",Z1–Z2 (133–158),разгрузка
пт 07.11,🏋️‍♂️ Зал / Кроссфит,ОФП лёгкая,30–40,"EMOM 12–16, без техники",—,разгрузка
сб 08.11,🏃 Бег,Лёгкие интервалы,35–45,"6–8×30с Z3 / отдых 90с; вся сессия ≤40–45 мин",Z3 (158–171),поддержать скорость
вс 09.11,🏃 Бег,Лонгран (короткий),60–70,"10–12 км плоско",Z1–Z2 (133–158),восстановить свежесть
