День,Статус кардионагрузки,Показатель кардионагрузки,Кардионагрузка (TRIMP — Training Impulse),Напряжение,Выносливость
31.08.2026,Восстановление после перетренированности,0.3,0,16,47
01.09.2026,Восстановление после перетренированности,0.6,66,26,45
02.09.2026,Восстановление после перетренированности,0.5,0,21,42
03.09.2026,Восстановление после перетренированности,0.5,0,21,41
04.09.2026,Восстановление после перетренированности,0.4,0,13,37
05.09.2026,Перетренированность,2.7,1778,267,99
06.09.2026,Перетренированность,2.7,0,263,99
07.09.2026,Перетренированность,2.7,0,263,99
08.09.2026,Перетренированность,2.7,0,254,95
09.09.2026,Перетренированность,2.7,0,254,93
10.09.2026,Перетренированность,2.7,0,254,93
11.09.2026,Перетренированность,2.8,0,254,90
12.09.2026,Восстановление после перетренированности,0.2,98,14,90
13.09.2026,Восстановление после перетренированности,0.2,0,14,83
